cname,year,bti_ci,bti_seb,bti_si,bti_sop,bti_rol,bti_pp,bti_pdi,bti_ij,bti_foe,bti_ffe,bti_eo,bti_csp,bti_cr,bti_aar,ccodealp
Zimbabwe,2013,7.0,3.0,7.0,4.0,3.5,3.5,3.0,4.0,4.0,3.0,3.0,3.0,3.0,5.0,ZWE
Zimbabwe,2015,5.0,3.0,7.0,3.0,3.25,3.5,3.0,4.0,4.0,3.0,3.0,4.0,4.0,5.0,ZWE
Zimbabwe,2017,6.0,2.0,7.0,3.0,2.75,3.25,3.0,3.0,4.0,3.0,3.0,2.0,3.0,4.0,ZWE
Zimbabwe,2019,5.0,2.0,8.0,3.0,3.25,3.5,3.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,ZWE
South Sudan,2013,7.0,1.0,9.0,3.0,3.0,3.75,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,SSD
South Sudan,2015,9.0,1.0,6.0,3.0,2.75,2.75,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,SSD
South Sudan,2017,10.0,1.0,6.0,2.0,2.25,2.0,2.0,3.0,3.0,1.0,3.0,3.0,2.0,3.0,SSD
South Sudan,2019,10.0,1.0,6.0,2.0,2.25,1.75,2.0,3.0,2.0,1.0,3.0,3.0,2.0,3.0,SSD
Sudan (2012-),2013,10.0,2.0,3.0,3.0,2.25,3.0,1.0,3.0,3.0,3.0,2.0,2.0,1.0,4.0,SDN
Sudan (2012-),2015,9.0,2.0,3.0,3.0,2.0,2.75,2.0,2.0,3.0,3.0,3.0,2.0,1.0,3.0,SDN
Sudan (2012-),2017,9.0,2.0,3.0,2.0,1.75,2.5,1.0,2.0,3.0,2.0,2.0,2.0,1.0,3.0,SDN
Sudan (2012-),2019,10.0,2.0,3.0,1.0,1.0,2.25,1.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,SDN
Sudan (-2011),2005,10.0,2.0,4.0,3.0,2.5,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,SDN
Sudan (-2011),2007,10.0,2.0,3.0,2.0,1.5,2.5,1.0,2.0,4.0,1.0,2.0,2.0,1.0,4.0,SDN
Sudan (-2011),2009,9.0,2.0,4.0,2.0,1.75,3.5,2.0,3.0,5.0,2.0,2.0,3.0,1.0,6.0,SDN
Sudan (-2011),2011,9.0,2.0,4.0,3.0,2.5,3.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,SDN
Eswatini (former Swaziland),2019,4.0,2.0,8.0,2.0,2.5,1.75,2.0,4.0,2.0,1.0,3.0,2.0,3.0,3.0,SWZ
Syria,2005,5.0,4.0,7.0,2.0,2.5,1.5,1.0,2.0,1.0,2.0,5.0,2.0,3.0,2.0,SYR
Syria,2007,5.0,4.0,7.0,1.0,1.5,1.75,1.0,1.0,2.0,2.0,4.0,1.0,2.0,2.0,SYR
Syria,2009,5.0,4.0,7.0,2.0,2.25,2.25,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,SYR
Syria,2011,5.0,3.0,7.0,2.0,2.25,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,SYR
Syria,2013,10.0,2.0,6.0,2.0,1.5,1.75,1.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,SYR
Syria,2015,10.0,1.0,3.0,2.0,1.5,1.75,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,SYR
Syria,2017,10.0,1.0,3.0,2.0,1.5,1.75,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,SYR
Syria,2019,10.0,1.0,3.0,2.0,1.5,1.5,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,SYR
Tajikistan,2005,8.0,2.0,7.0,4.0,3.5,2.75,2.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,TJK
Tajikistan,2007,6.0,2.0,7.0,3.0,3.25,3.0,2.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,TJK
Tajikistan,2009,5.0,2.0,7.0,3.0,2.75,3.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,TJK
Tajikistan,2011,5.0,3.0,7.0,2.0,2.75,2.75,2.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,TJK
Tajikistan,2013,5.0,3.0,7.0,3.0,3.0,2.75,2.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,TJK
Tajikistan,2015,5.0,4.0,7.0,3.0,2.75,2.5,2.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,TJK
Tajikistan,2017,5.0,3.0,7.0,2.0,2.0,1.75,1.0,2.0,2.0,1.0,5.0,2.0,2.0,2.0,TJK
Tajikistan,2019,5.0,3.0,7.0,2.0,2.0,1.75,1.0,2.0,2.0,1.0,5.0,2.0,2.0,2.0,TJK
Thailand,2005,6.0,7.0,7.0,6.0,6.5,7.25,8.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,THA
Thailand,2007,6.0,6.0,7.0,3.0,5.75,3.75,2.0,7.0,5.0,2.0,6.0,5.0,7.0,6.0,THA
Thailand,2009,8.0,6.0,7.0,5.0,5.5,5.5,4.0,5.0,5.0,6.0,6.0,5.0,6.0,7.0,THA
Thailand,2011,8.0,6.0,7.0,4.0,4.75,4.5,3.0,5.0,5.0,6.0,6.0,4.0,4.0,5.0,THA
Thailand,2013,7.0,6.0,7.0,4.0,4.5,5.0,5.0,5.0,4.0,6.0,6.0,5.0,4.0,6.0,THA
Thailand,2015,7.0,6.0,7.0,2.0,3.25,1.5,1.0,3.0,2.0,1.0,5.0,3.0,3.0,2.0,THA
Thailand,2017,7.0,6.0,7.0,2.0,3.0,1.5,1.0,3.0,2.0,1.0,4.0,3.0,3.0,2.0,THA
Thailand,2019,7.0,6.0,7.0,2.0,3.25,1.5,1.0,3.0,2.0,1.0,4.0,3.0,4.0,2.0,THA
Togo,2005,4.0,2.0,9.0,3.0,2.5,3.5,2.0,3.0,4.0,3.0,2.0,2.0,2.0,4.0,TGO
Togo,2007,5.0,2.0,9.0,3.0,2.75,3.5,2.0,3.0,4.0,3.0,2.0,4.0,3.0,5.0,TGO
Togo,2009,4.0,2.0,9.0,4.0,4.0,4.75,2.0,4.0,6.0,5.0,2.0,5.0,5.0,6.0,TGO
Togo,2011,3.0,2.0,9.0,4.0,4.25,4.75,3.0,4.0,6.0,5.0,3.0,5.0,5.0,6.0,TGO
Togo,2013,5.0,2.0,8.0,4.0,4.25,4.25,3.0,4.0,5.0,4.0,4.0,5.0,5.0,6.0,TGO
Togo,2015,5.0,2.0,8.0,3.0,4.0,4.25,3.0,4.0,5.0,4.0,4.0,5.0,5.0,6.0,TGO
Togo,2017,4.0,2.0,8.0,4.0,4.25,4.75,3.0,4.0,5.0,5.0,4.0,5.0,5.0,6.0,TGO
Togo,2019,5.0,2.0,8.0,4.0,4.0,4.25,3.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,TGO
Trinidad and Tobago,2019,2.0,6.0,9.0,8.0,7.25,9.25,9.0,8.0,9.0,10.0,6.0,7.0,8.0,9.0,TTO
United Arab Emirates,2005,4.0,7.0,6.0,1.0,3.75,2.0,1.0,4.0,4.0,1.0,3.0,3.0,6.0,2.0,ARE
United Arab Emirates,2007,3.0,7.0,6.0,2.0,4.25,2.25,1.0,4.0,4.0,1.0,5.0,3.0,6.0,3.0,ARE
United Arab Emirates,2009,3.0,7.0,8.0,2.0,4.5,3.0,2.0,4.0,5.0,3.0,8.0,4.0,6.0,3.0,ARE
United Arab Emirates,2011,3.0,7.0,7.0,1.0,4.5,2.5,2.0,4.0,4.0,2.0,8.0,4.0,6.0,3.0,ARE
United Arab Emirates,2013,2.0,8.0,7.0,2.0,4.25,2.25,2.0,3.0,3.0,2.0,7.0,2.0,5.0,3.0,ARE
United Arab Emirates,2015,1.0,8.0,7.0,2.0,4.0,1.75,2.0,3.0,2.0,2.0,7.0,4.0,4.0,2.0,ARE
United Arab Emirates,2017,1.0,8.0,7.0,2.0,4.0,2.0,3.0,3.0,3.0,2.0,8.0,4.0,4.0,2.0,ARE
United Arab Emirates,2019,1.0,8.0,7.0,2.0,4.25,1.75,2.0,3.0,2.0,2.0,7.0,3.0,5.0,2.0,ARE
Tunisia,2005,2.0,5.0,10.0,2.0,3.5,2.0,1.0,4.0,1.0,2.0,6.0,3.0,4.0,3.0,TUN
Tunisia,2007,1.0,5.0,10.0,2.0,3.5,2.0,2.0,4.0,1.0,2.0,8.0,2.0,4.0,3.0,TUN
Tunisia,2009,2.0,4.0,9.0,3.0,3.75,2.5,2.0,4.0,2.0,3.0,7.0,2.0,4.0,3.0,TUN
Tunisia,2011,3.0,5.0,9.0,3.0,3.5,3.0,2.0,4.0,3.0,3.0,7.0,3.0,4.0,4.0,TUN
Tunisia,2013,6.0,5.0,9.0,6.0,5.0,7.25,4.0,5.0,6.0,8.0,6.0,5.0,5.0,7.0,TUN
Tunisia,2015,6.0,5.0,9.0,7.0,5.5,7.5,5.0,6.0,6.0,9.0,6.0,7.0,5.0,7.0,TUN
Tunisia,2017,5.0,5.0,9.0,7.0,5.75,7.5,5.0,6.0,6.0,9.0,6.0,7.0,6.0,7.0,TUN
Tunisia,2019,5.0,5.0,9.0,6.0,5.5,7.5,6.0,6.0,6.0,9.0,7.0,7.0,6.0,7.0,TUN
Turkey,2005,5.0,5.0,7.0,7.0,6.25,7.0,7.0,6.0,6.0,8.0,7.0,6.0,6.0,7.0,TUR
Turkey,2007,5.0,6.0,7.0,8.0,6.75,7.0,7.0,7.0,6.0,8.0,7.0,8.0,6.0,7.0,TUR
Turkey,2009,5.0,5.0,7.0,8.0,7.25,7.75,8.0,7.0,7.0,8.0,7.0,6.0,7.0,8.0,TUR
Turkey,2011,5.0,5.0,7.0,9.0,7.5,7.75,8.0,7.0,7.0,8.0,7.0,6.0,7.0,7.0,TUR
Turkey,2013,5.0,5.0,7.0,8.0,7.25,7.75,8.0,7.0,6.0,8.0,7.0,5.0,7.0,7.0,TUR
Turkey,2015,4.0,5.0,8.0,7.0,6.25,7.25,7.0,6.0,5.0,8.0,7.0,5.0,6.0,6.0,TUR
Turkey,2017,7.0,5.0,7.0,4.0,4.25,6.0,5.0,4.0,4.0,7.0,7.0,3.0,4.0,4.0,TUR
Turkey,2019,7.0,5.0,8.0,3.0,3.5,5.75,3.0,3.0,3.0,6.0,6.0,2.0,3.0,4.0,TUR
Turkmenistan,2005,3.0,4.0,6.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,TKM
Turkmenistan,2007,4.0,4.0,7.0,2.0,2.25,1.25,1.0,3.0,1.0,2.0,4.0,1.0,1.0,1.0,TKM
Turkmenistan,2009,4.0,4.0,7.0,2.0,2.25,1.25,1.0,3.0,1.0,2.0,4.0,1.0,1.0,1.0,TKM
Turkmenistan,2011,3.0,4.0,7.0,2.0,2.25,1.5,1.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,TKM
Turkmenistan,2013,3.0,4.0,7.0,2.0,2.25,1.25,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,TKM
Turkmenistan,2015,3.0,4.0,7.0,2.0,2.25,1.0,1.0,2.0,1.0,1.0,4.0,1.0,2.0,1.0,TKM
Turkmenistan,2017,3.0,3.0,7.0,2.0,2.25,1.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,TKM
Turkmenistan,2019,3.0,2.0,7.0,2.0,1.75,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,TKM
Uganda,2005,5.0,3.0,8.0,7.0,6.25,4.75,3.0,6.0,7.0,4.0,3.0,6.0,6.0,5.0,UGA
Uganda,2007,7.0,3.0,8.0,6.0,6.5,7.0,7.0,7.0,8.0,7.0,5.0,6.0,7.0,7.0,UGA
Uganda,2009,4.0,4.0,8.0,7.0,6.5,6.5,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,UGA
Uganda,2011,5.0,4.0,8.0,6.0,6.0,6.0,7.0,7.0,5.0,6.0,6.0,6.0,6.0,6.0,UGA
Uganda,2013,6.0,3.0,8.0,6.0,6.25,6.0,7.0,7.0,6.0,6.0,6.0,6.0,7.0,5.0,UGA
Uganda,2015,6.0,3.0,8.0,6.0,5.75,5.5,7.0,7.0,5.0,6.0,6.0,6.0,6.0,5.0,UGA
Uganda,2017,6.0,3.0,8.0,5.0,5.5,4.5,3.0,7.0,5.0,5.0,6.0,6.0,6.0,5.0,UGA
Uganda,2019,6.0,3.0,8.0,4.0,5.25,4.25,3.0,7.0,5.0,5.0,6.0,6.0,6.0,4.0,UGA
Ukraine,2005,2.0,6.0,9.0,7.0,7.0,7.75,7.0,7.0,7.0,8.0,7.0,5.0,8.0,9.0,UKR
Ukraine,2007,4.0,5.0,9.0,7.0,6.75,7.75,7.0,7.0,8.0,8.0,6.0,5.0,8.0,8.0,UKR
Ukraine,2009,3.0,5.0,9.0,6.0,6.25,7.75,6.0,6.0,8.0,8.0,6.0,5.0,8.0,8.0,UKR
Ukraine,2011,3.0,5.0,9.0,5.0,5.0,6.0,6.0,5.0,6.0,7.0,6.0,4.0,6.0,5.0,UKR
Ukraine,2013,3.0,6.0,9.0,5.0,5.0,6.0,6.0,5.0,6.0,6.0,6.0,4.0,6.0,6.0,UKR
Ukraine,2015,9.0,5.0,8.0,7.0,6.25,7.75,6.0,6.0,8.0,8.0,7.0,6.0,7.0,9.0,UKR
Ukraine,2017,9.0,5.0,8.0,7.0,6.25,7.5,7.0,6.0,7.0,8.0,7.0,7.0,7.0,9.0,UKR
Ukraine,2019,9.0,6.0,8.0,7.0,6.25,7.5,7.0,6.0,7.0,8.0,7.0,7.0,7.0,9.0,UKR
North Macedonia,2005,5.0,6.0,8.0,8.0,7.0,9.0,8.0,6.0,9.0,9.0,7.0,5.0,8.0,9.0,MKD
North Macedonia,2007,4.0,7.0,8.0,8.0,6.75,8.75,8.0,6.0,8.0,9.0,8.0,6.0,7.0,9.0,MKD
North Macedonia,2009,4.0,6.0,8.0,8.0,7.25,8.5,8.0,7.0,7.0,8.0,7.0,6.0,8.0,10.0,MKD
North Macedonia,2011,4.0,6.0,8.0,7.0,6.75,7.75,8.0,6.0,6.0,8.0,7.0,6.0,8.0,8.0,MKD
North Macedonia,2013,5.0,6.0,8.0,7.0,6.75,7.25,7.0,6.0,5.0,8.0,7.0,6.0,8.0,8.0,MKD
North Macedonia,2015,5.0,6.0,7.0,6.0,6.25,6.25,6.0,6.0,4.0,7.0,7.0,5.0,8.0,7.0,MKD
North Macedonia,2017,6.0,6.0,6.0,5.0,6.0,6.25,5.0,6.0,4.0,7.0,7.0,5.0,8.0,7.0,MKD
North Macedonia,2019,5.0,6.0,8.0,6.0,6.5,7.5,6.0,7.0,6.0,7.0,7.0,7.0,8.0,9.0,MKD
Egypt,2005,4.0,3.0,8.0,3.0,3.75,3.25,2.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,EGY
Egypt,2007,4.0,4.0,9.0,4.0,4.25,4.0,2.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,EGY
Egypt,2009,4.0,3.0,8.0,4.0,4.25,3.5,2.0,5.0,4.0,3.0,4.0,4.0,4.0,5.0,EGY
Egypt,2011,5.0,3.0,8.0,3.0,3.5,3.25,2.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,EGY
Egypt,2013,7.0,3.0,7.0,6.0,4.75,5.5,3.0,6.0,6.0,7.0,3.0,4.0,3.0,6.0,EGY
Egypt,2015,7.0,3.0,7.0,3.0,3.5,3.25,2.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,EGY
Egypt,2017,7.0,3.0,7.0,3.0,3.5,2.75,2.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,EGY
Egypt,2019,7.0,3.0,7.0,3.0,3.0,2.25,2.0,4.0,2.0,2.0,4.0,3.0,2.0,3.0,EGY
Tanzania,2005,3.0,4.0,8.0,8.0,5.75,7.0,6.0,6.0,6.0,7.0,2.0,4.0,6.0,7.0,TZA
Tanzania,2007,5.0,3.0,9.0,6.0,6.25,7.25,7.0,7.0,7.0,7.0,4.0,5.0,7.0,6.0,TZA
Tanzania,2009,5.0,3.0,8.0,7.0,6.0,6.25,6.0,6.0,6.0,6.0,4.0,5.0,6.0,6.0,TZA
Tanzania,2011,5.0,3.0,8.0,7.0,6.0,6.75,6.0,6.0,6.0,7.0,4.0,5.0,6.0,6.0,TZA
Tanzania,2013,5.0,3.0,8.0,6.0,5.5,6.75,6.0,6.0,6.0,7.0,4.0,5.0,6.0,6.0,TZA
Tanzania,2015,5.0,3.0,7.0,6.0,5.5,6.75,6.0,6.0,6.0,7.0,4.0,5.0,6.0,6.0,TZA
Tanzania,2017,5.0,3.0,7.0,6.0,5.5,6.5,6.0,6.0,6.0,6.0,4.0,5.0,6.0,6.0,TZA
Tanzania,2019,4.0,3.0,8.0,4.0,5.0,6.0,6.0,7.0,5.0,6.0,4.0,3.0,4.0,5.0,TZA
Burkina Faso,2005,2.0,1.0,10.0,5.0,4.0,5.5,3.0,4.0,6.0,7.0,4.0,4.0,3.0,6.0,BFA
Burkina Faso,2007,2.0,1.0,9.0,5.0,4.5,6.5,5.0,4.0,6.0,7.0,3.0,5.0,5.0,6.0,BFA
Burkina Faso,2009,2.0,1.0,9.0,3.0,4.0,5.5,3.0,4.0,7.0,6.0,3.0,5.0,6.0,6.0,BFA
Burkina Faso,2011,2.0,1.0,9.0,3.0,4.0,5.5,3.0,4.0,7.0,6.0,3.0,4.0,6.0,6.0,BFA
Burkina Faso,2013,4.0,1.0,10.0,3.0,4.25,5.5,3.0,4.0,7.0,6.0,3.0,5.0,6.0,6.0,BFA
Burkina Faso,2015,6.0,1.0,10.0,3.0,4.0,4.0,2.0,4.0,7.0,2.0,3.0,6.0,5.0,6.0,BFA
Burkina Faso,2017,6.0,1.0,10.0,4.0,4.75,7.0,6.0,5.0,7.0,7.0,3.0,6.0,6.0,7.0,BFA
Burkina Faso,2019,7.0,1.0,10.0,4.0,4.25,6.75,6.0,4.0,7.0,7.0,3.0,6.0,5.0,6.0,BFA
Uruguay,2005,1.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,10.0,10.0,URY
Uruguay,2007,1.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,10.0,10.0,URY
Uruguay,2009,1.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,URY
Uruguay,2011,1.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,URY
Uruguay,2013,1.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,URY
Uruguay,2015,1.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,URY
Uruguay,2017,1.0,7.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,URY
Uruguay,2019,1.0,7.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,URY
Uzbekistan,2005,6.0,4.0,7.0,2.0,2.5,1.75,2.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,UZB
Uzbekistan,2007,5.0,3.0,7.0,2.0,2.25,2.25,2.0,3.0,2.0,2.0,4.0,2.0,2.0,3.0,UZB
Uzbekistan,2009,5.0,3.0,7.0,2.0,2.25,2.0,1.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,UZB
Uzbekistan,2011,5.0,2.0,7.0,2.0,2.25,2.0,1.0,3.0,2.0,2.0,4.0,1.0,2.0,2.0,UZB
Uzbekistan,2013,5.0,3.0,7.0,2.0,2.25,1.75,1.0,3.0,2.0,1.0,4.0,1.0,2.0,2.0,UZB
Uzbekistan,2015,5.0,4.0,7.0,2.0,2.25,2.0,1.0,2.0,2.0,2.0,5.0,1.0,2.0,2.0,UZB
Uzbekistan,2017,4.0,4.0,8.0,2.0,2.25,2.25,1.0,2.0,2.0,2.0,5.0,2.0,2.0,3.0,UZB
Uzbekistan,2019,3.0,4.0,8.0,3.0,3.25,2.5,2.0,3.0,3.0,2.0,5.0,3.0,3.0,3.0,UZB
Venezuela,2005,3.0,5.0,10.0,3.0,4.0,5.75,3.0,4.0,5.0,8.0,7.0,4.0,6.0,7.0,VEN
Venezuela,2007,4.0,5.0,9.0,3.0,3.75,5.0,3.0,3.0,5.0,6.0,7.0,3.0,6.0,6.0,VEN
Venezuela,2009,5.0,6.0,9.0,2.0,3.25,4.5,2.0,3.0,4.0,6.0,7.0,4.0,6.0,6.0,VEN
Venezuela,2011,5.0,6.0,9.0,2.0,2.75,4.5,3.0,2.0,4.0,6.0,7.0,3.0,5.0,6.0,VEN
Venezuela,2013,5.0,6.0,9.0,3.0,3.25,4.25,3.0,2.0,4.0,6.0,7.0,3.0,5.0,5.0,VEN
Venezuela,2015,6.0,6.0,9.0,3.0,2.75,4.0,3.0,2.0,4.0,6.0,7.0,3.0,4.0,4.0,VEN
Venezuela,2017,6.0,4.0,9.0,2.0,2.5,3.75,3.0,2.0,4.0,4.0,6.0,3.0,4.0,4.0,VEN
Venezuela,2019,8.0,3.0,9.0,2.0,1.75,2.5,2.0,2.0,3.0,2.0,5.0,1.0,2.0,3.0,VEN
Yemen,2005,6.0,1.0,8.0,3.0,3.75,4.5,2.0,4.0,5.0,5.0,2.0,4.0,5.0,6.0,YEM
Yemen,2007,5.0,1.0,8.0,4.0,4.0,3.75,2.0,4.0,4.0,5.0,3.0,4.0,4.0,5.0,YEM
Yemen,2009,6.0,2.0,8.0,4.0,4.0,4.25,2.0,4.0,4.0,5.0,3.0,4.0,4.0,6.0,YEM
Yemen,2011,7.0,2.0,6.0,4.0,4.0,3.75,2.0,4.0,3.0,5.0,3.0,3.0,4.0,5.0,YEM
Yemen,2013,9.0,1.0,4.0,3.0,3.25,4.25,2.0,4.0,4.0,4.0,3.0,5.0,3.0,7.0,YEM
Yemen,2015,9.0,1.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,4.0,2.0,5.0,2.0,4.0,YEM
Yemen,2017,10.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,1.0,2.0,2.0,1.0,3.0,YEM
Yemen,2019,10.0,1.0,2.0,1.0,1.25,1.25,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,YEM
Zambia,2005,1.0,3.0,9.0,7.0,6.5,6.25,6.0,5.0,6.0,6.0,4.0,4.0,8.0,9.0,ZMB
Zambia,2007,3.0,2.0,9.0,6.0,6.0,7.0,6.0,7.0,7.0,7.0,4.0,6.0,6.0,6.0,ZMB
Zambia,2009,3.0,3.0,9.0,7.0,6.25,7.0,6.0,6.0,7.0,7.0,5.0,6.0,7.0,7.0,ZMB
Zambia,2011,3.0,3.0,9.0,7.0,6.0,7.25,6.0,7.0,7.0,7.0,5.0,6.0,6.0,7.0,ZMB
Zambia,2013,4.0,3.0,8.0,6.0,5.5,7.0,6.0,7.0,7.0,7.0,5.0,6.0,5.0,6.0,ZMB
Zambia,2015,4.0,3.0,8.0,6.0,5.25,6.75,6.0,6.0,6.0,8.0,5.0,6.0,5.0,5.0,ZMB
Zambia,2017,4.0,3.0,8.0,6.0,5.0,6.0,6.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,ZMB
Zambia,2019,4.0,3.0,8.0,4.0,4.25,5.5,6.0,4.0,4.0,6.0,5.0,3.0,5.0,4.0,ZMB
